CIC0,SM1_Dz(Z),GATS1i,NdsCH,NdssC,MLOGP,LC-50
0.47861,0.468031,0.969835,-0.378427,0.597155,-0.457922,3.77
-0.937891,-0.113122,-1.092033,-0.378427,-0.563909,-0.531186,3.115
-1.022538,0.022247,-1.173188,-0.378427,-0.563909,-0.531186,3.531
0.170445,-0.694274,0.452466,1.273551,-0.563909,-0.210919,3.51
-1.063538,0.463363,-1.099641,-0.378427,-0.563909,-0.155797,5.39
0.428351,-0.694274,2.240432,-0.378427,-0.563909,-0.97914,1.819
0.371479,-1.46681,-0.584808,-0.378427,-0.563909,0.581026,3.947
0.134734,-1.46681,-0.901823,1.273551,-0.563909,0.51753,3.513
-0.367852,-0.302171,-0.769945,-0.378427,-0.563909,0.581026,4.402
-0.084817,-1.154061,-0.87139,-0.378427,-0.563909,-0.361633,3.021
-0.652211,-1.154061,-1.142755,-0.378427,-0.563909,-0.237434,3.21
-0.225012,-0.94634,-0.863782,-0.378427,-0.563909,-0.361633,2.371
-0.510693,-0.94634,-0.924648,1.273551,-0.563909,-0.237434,3.919
-0.084817,-1.154061,-0.143523,-0.378427,-0.563909,-0.174636,3.03
-0.104656,-0.694274,-0.057295,-0.378427,0.597155,-0.78726,2.736
-1.021215,-0.88099,-0.455466,-0.378427,-0.563909,-1.371973,2.157
-0.084817,-1.154061,0.072048,-0.378427,-0.563909,-0.63515,2.413
0.153251,-0.159801,1.236128,-0.378427,-0.563909,-1.551992,0.898
0.166477,-0.411867,3.561752,-0.378427,-0.563909,-0.699343,0.45
0.182348,-0.521562,-0.224679,1.273551,-0.563909,-0.210919,3.733
-0.252786,0.801785,1.510029,-0.378427,2.919283,-2.287419,2.976
0.105637,1.441286,-0.483363,-0.378427,0.597155,1.310871,6.535
0.281543,0.241638,-0.939865,-0.378427,-0.563909,1.366691,5.643
0.551352,-0.94634,-0.846029,-0.378427,-0.563909,0.897106,4.629
-0.248819,0.703759,-1.444554,-0.378427,-0.563909,0.290762,4.838
0.565901,0.043253,-0.780089,-0.378427,0.597155,0.699643,4.081
0.573836,-1.154061,0.001036,-0.378427,-0.563909,0.279598,3.436
1.319781,-1.154061,1.750961,-0.378427,-0.563909,0.336116,3.45
0.339737,0.022247,2.116162,-0.378427,-0.563909,-2.125541,1.102
-0.554338,0.603399,-0.861245,-0.378427,-0.563909,-0.252086,4.257
-2.411264,1.2429,-1.08696,-0.378427,0.597155,-1.455005,5.386
0.987809,-0.94634,-0.351485,-0.378427,-0.563909,0.507762,3.393
0.23922,-0.465548,2.133915,-0.378427,-0.563909,-1.835278,1.308
0.573836,-1.154061,0.571664,-0.378427,-0.563909,0.092602,3.554
-0.227657,-0.309173,-0.290618,-0.378427,0.597155,-0.732137,2.269
0.838356,-1.154061,-0.46561,-0.378427,-0.563909,0.491016,4.165
1.743012,-0.94634,-0.115625,-0.378427,-0.563909,2.079092,5.896
0.934905,-1.46681,-0.364165,-0.378427,-0.563909,1.01363,4.829
0.026282,-0.94634,-0.886607,4.577507,-0.563909,-0.030202,4.59
1.236457,-0.521562,0.579272,-0.378427,0.597155,0.964787,2.092
1.019552,-0.94634,0.774554,-0.378427,-0.563909,0.11493,3.665
-0.098043,-0.94634,-0.744584,1.273551,-0.563909,-0.005083,3.56
-0.879697,0.026915,-0.947474,1.273551,-0.563909,0.181913,4.805
0.270962,-1.154061,0.127842,-0.378427,-0.563909,-0.402102,3.174
2.003563,-0.159801,-0.313443,1.273551,1.758219,1.253655,7.899
0.982519,-0.694274,1.621618,-0.378427,0.597155,-0.379774,2.67
0.231284,0.150614,1.413656,-0.378427,1.758219,-0.922623,4.016
0.150606,-0.94634,-0.686253,-0.378427,-0.563909,0.058412,3.857
1.216618,0.150614,0.845565,2.925529,1.758219,0.075158,5.522
1.683495,0.150614,0.974907,-0.378427,1.758219,0.516135,4.851
1.10552,-0.94634,0.396671,2.925529,0.597155,0.371701,3.84
1.10552,-0.94634,0.203926,2.925529,1.758219,0.371701,4.586
-1.021215,0.813454,-1.325356,-0.378427,-0.563909,1.176205,5.284
-0.902181,0.117939,-1.343109,-0.378427,-0.563909,0.13028,3.559
0.371479,-1.46681,-0.584808,-0.378427,-0.563909,0.581026,4.091
-0.367852,-0.302171,-0.769945,-0.378427,-0.563909,0.768022,4.33
